id_match,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
2011602,Germany,Norway,GER,NOR,1.0,0.0,,,1.0,0.0,Germany,WIN_REGULAR,2013,2013-07-28,2013-07-28T14:00:00Z,2.0,,MD6,,,25.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,FINAL,FINAL,41301.0,250001872,SWE,50573.0,59.3725,18.0,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 49, 'second': 15}, 'international_name': 'Anja Mittag', 'club_shirt_name': 'Mittag', 'country_code': '', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'goal_type': 'SCORED'}]","[{'phase': 'FIRST_HALF', 'time': {'minute': 29, 'second': 27}, 'international_name': 'Trine Rønning', 'club_shirt_name': 'Rønning', 'country_code': 'NOR', 'national_field_position': 'GOALKEEPER', 'national_jersey_number': '7', 'penalty_type': 'MISSED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 61, 'second': 14}, 'international_name': 'Solveig Gulbrandsen', 'club_shirt_name': 'Sola', 'country_code': 'NOR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'penalty_type': 'MISSED'}]",,,"[{'name': 'Sian Massey', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Massey', 'gender': 'FEMALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Kirsi Heikkinen', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Heikkinen', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Bo Karlsson', 'role': 'REFEREE_OBSERVER', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Maria Villa', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Villa', 'gender': 'FEMALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'Cristina Dorcioman', 'role': 'REFEREE', 'name_short': 'Dorcioman', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Ivančica Sudac', 'role': 'UEFA_DELEGATE', 'name_short': 'Sudac', 'gender': 'FEMALE', 'counrty_code': 'CRO', 'counrty': 'Croatia'}]",Solna,Strawberry Arena,Strawberry Arena,Strawberry Arena,Solna Arena,Strawberry Arena
2011601,Norway,Denmark,NOR,DEN,1.0,1.0,4.0,2.0,1.0,1.0,,DRAW,2013,2013-07-25,2013-07-25T18:30:00Z,2.0,,MD5,,DRY,23.0,SUNNY,0.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,9260.0,63092,SWE,10227.0,58.584325,16.1730389,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 3, 'second': 32}, 'international_name': 'Marit Fiane Grødum', 'club_shirt_name': 'Christensen', 'country_code': 'NOR', 'national_field_position': 'DEFENDER', 'national_jersey_number': '3', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 23}, 'international_name': 'Mariann Knudsen', 'club_shirt_name': 'Gajhede', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '6', 'goal_type': 'SCORED'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Line Røddik', 'club_shirt_name': 'Roddik', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '14', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Solveig Gulbrandsen', 'club_shirt_name': 'Sola', 'country_code': 'NOR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Theresa Nielsen', 'club_shirt_name': 'Eslund', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '8', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Cathrine Dekkerhus', 'club_shirt_name': 'Høegh Dekkerhus', 'country_code': 'NOR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '22', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Nadia Nadim', 'club_shirt_name': 'Nadim', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '20', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Maren Mjelde', 'club_shirt_name': 'Mjelde', 'country_code': 'NOR', 'national_field_position': 'DEFENDER', 'national_jersey_number': '5', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Mia Brogaard', 'club_shirt_name': 'Brogaard', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '19', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Trine Rønning', 'club_shirt_name': 'Rønning', 'country_code': 'NOR', 'national_field_position': 'GOALKEEPER', 'national_jersey_number': '7', 'penalty_type': 'SCORED'}]",,"[{'name': 'Lucie Ratajová', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Ratajová', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}, {'name': 'Kateryna Monzul', 'role': 'REFEREE', 'name_short': 'Monzul', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Katalin Kulcsár', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Ivančica Sudac', 'role': 'UEFA_DELEGATE', 'name_short': 'Sudac', 'gender': 'FEMALE', 'counrty_code': 'CRO', 'counrty': 'Croatia'}, {'name': 'Bo Karlsson', 'role': 'REFEREE_OBSERVER', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Natalia Rachynska', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Rachynska', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}]",Norrkoping,NYA Parken,Norrköpings Idrottsparken,NYA Parken,NYA Parken,Östgötaporten
2011600,Sweden,Germany,SWE,GER,0.0,1.0,,,0.0,1.0,Germany,WIN_REGULAR,2013,2013-07-24,2013-07-24T18:30:00Z,2.0,,MD5,,,25.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,16608.0,250000339,SWE,17032.0,57.7059111,11.9873167,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 33, 'second': 57}, 'international_name': 'Dzsenifer Marozsán', 'club_shirt_name': 'Marozsan', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Dagmar Damkova', 'role': 'REFEREE_OBSERVER', 'name_short': 'Damkova', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}, {'name': 'Mária Súkeníková', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Súkeníková', 'gender': 'FEMALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Kirsi Heikkinen', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Heikkinen', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Judit Kulcsár', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Esther Staubli', 'role': 'REFEREE', 'name_short': 'Staubli', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Sheila Begbie', 'role': 'UEFA_DELEGATE', 'name_short': 'Begbie', 'gender': 'FEMALE', 'counrty_code': 'SCO', 'counrty': 'Scotland'}]",Gothenburg,Gamla Ullevi,Gamla Ullevi,Gamla Ullevi,Gamla Ullevi,Gamla Ullevi
2011597,France,Denmark,FRA,DEN,1.0,1.0,2.0,4.0,1.0,1.0,,DRAW,2013,2013-07-22,2013-07-22T18:45:00Z,2.0,,MD4,,DRY,22.0,SUNNY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,7448.0,250001871,SWE,7400.0,58.418056,15.649167,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 28, 'second': 34}, 'international_name': 'Johanna Rasmussen', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 71, 'second': 30}, 'international_name': 'Louisa Necib', 'club_shirt_name': 'Necib', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': '14', 'goal_type': 'PENALTY'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Line Røddik', 'club_shirt_name': 'Roddik', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '14', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Louisa Necib', 'club_shirt_name': 'Necib', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': '14', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Julie Rydahl', 'club_shirt_name': 'Bukh', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Gaëtane Thiney', 'club_shirt_name': 'Thiney', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': '17', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Nadia Nadim', 'club_shirt_name': 'Nadim', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '20', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Eugénie Le Sommer', 'club_shirt_name': 'Le Sommer D.', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Theresa Nielsen', 'club_shirt_name': 'Eslund', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '8', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Sabrina Delannoy', 'club_shirt_name': '', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': '5', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Janni Arnth', 'club_shirt_name': 'Arnth', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '3', 'penalty_type': 'SCORED'}]",,"[{'name': 'Esther Staubli', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Staubli', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Marina Tashchyan', 'role': 'UEFA_DELEGATE', 'name_short': 'Tashchyan', 'gender': 'FEMALE', 'counrty_code': 'ARM', 'counrty': 'Armenia'}, {'name': 'Carina Vitulano', 'role': 'REFEREE', 'name_short': 'Vitulano', 'gender': 'FEMALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Dagmar Damkova', 'role': 'REFEREE_OBSERVER', 'name_short': 'Damkova', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}, {'name': 'Petruta Iugulescu', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Iugulescu', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Romina Santuari', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Santuari', 'gender': 'FEMALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}]",Linkoping,Linköping Arena,Linköping Arena,Linköping Arena,Linköping Arena,Bilbörsen Arena
2011596,Norway,Spain,NOR,ESP,3.0,1.0,,,3.0,1.0,Norway,WIN_REGULAR,2013,2013-07-22,2013-07-22T16:00:00Z,2.0,,MD4,,,20.0,SUNNY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,10435.0,250001286,SWE,10433.0,56.690703,16.315233,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 24, 'second': 51}, 'international_name': 'Solveig Gulbrandsen', 'club_shirt_name': 'Sola', 'country_code': 'NOR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 43, 'second': 23}, 'international_name': 'Irene Paredes', 'club_shirt_name': 'PAREDES', 'country_code': 'ESP', 'national_field_position': 'DEFENDER', 'national_jersey_number': '4', 'goal_type': 'OWN'}, {'phase': 'SECOND_HALF', 'time': {'minute': 64, 'second': 29}, 'international_name': 'Ada Hegerberg', 'club_shirt_name': 'Hegerberg', 'country_code': 'NOR', 'national_field_position': 'FORWARD', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'injuryMinute': 2, 'minute': 90}, 'international_name': 'Jennifer Hermoso', 'club_shirt_name': 'J. HERMOSO', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Bibiana Steinhaus', 'role': 'REFEREE', 'name_short': 'Steinhaus', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Helen Karo', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Karo', 'gender': 'FEMALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Katarzyna Wierzbowska', 'role': 'REFEREE_OBSERVER', 'name_short': 'Wierzbowska', 'gender': 'FEMALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Liana Melania Stoicescu', 'role': 'UEFA_DELEGATE', 'name_short': 'Stoicescu', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Marina Wozniak', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Wozniak', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Cristina Dorcioman', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Dorcioman', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}]",Kalmar,Kalmar Arena,Kalmar Arena,Kalmar Arena,Kalmar Arena,Guldfågeln Arena
2011595,Italy,Germany,ITA,GER,0.0,1.0,,,0.0,1.0,Germany,WIN_REGULAR,2013,2013-07-21,2013-07-21T16:00:00Z,2.0,,MD4,,,28.0,SUNNY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,9265.0,250001870,SWE,9000.0,56.879952,14.776461,105.0,680.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 26, 'second': 23}, 'international_name': 'Simone Laudehr', 'club_shirt_name': 'Laudehr', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '6', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Katalin Kulcsár', 'role': 'REFEREE', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Aleksandra Pejkovska', 'role': 'UEFA_DELEGATE', 'name_short': 'Pejkovska', 'gender': 'FEMALE', 'counrty_code': 'MKD', 'counrty': 'North Macedonia'}, {'name': 'Judit Kulcsár', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Teodora Albon', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Albon', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Bo Karlsson', 'role': 'REFEREE_OBSERVER', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Hege Steinlund', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Steinlund', 'gender': 'FEMALE', 'counrty_code': 'NOR', 'counrty': 'Norway'}]",Vaxjo,Växjö Arena,Växjö Arena,Växjö Arena,Växjö Arena,Myresjöhus Arena
2011594,Sweden,Iceland,SWE,ISL,4.0,0.0,,,4.0,0.0,Sweden,WIN_REGULAR,2013,2013-07-21,2013-07-21T13:00:00Z,2.0,,MD4,,,21.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,7468.0,63089,SWE,4500.0,56.6844556,12.8664083,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 3, 'second': 41}, 'international_name': 'Marie Hammarström', 'club_shirt_name': 'Hammarström', 'country_code': 'SWE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '20', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 14, 'second': 56}, 'international_name': 'Josefine Öqvist', 'club_shirt_name': 'Öqvist', 'country_code': 'SWE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 19, 'second': 45}, 'international_name': 'Lotta Schelin', 'club_shirt_name': 'Schelin', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '8', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 59, 'second': 36}, 'international_name': 'Lotta Schelin', 'club_shirt_name': 'Schelin', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '8', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Sheila Begbie', 'role': 'UEFA_DELEGATE', 'name_short': 'Begbie', 'gender': 'FEMALE', 'counrty_code': 'SCO', 'counrty': 'Scotland'}, {'name': 'Kateryna Monzul', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Monzul', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Carolin Rudolph', 'role': 'REFEREE_OBSERVER', 'name_short': 'Rudolph', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Maria Villa', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Villa', 'gender': 'FEMALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'Tonja Weckström', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Weckström', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Kirsi Heikkinen', 'role': 'REFEREE', 'name_short': 'Heikkinen', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}]",Halmstad,Örjans Vall,Örjans vall,Örjans Vall,Örjans Vall,Örjans Vall
2010729,Russia*,Spain,RUS,ESP,1.0,1.0,,,1.0,1.0,,DRAW,2013,2013-07-18,2013-07-18T18:30:00Z,2.0,Group C,MD3,,DRY,23.0,SUNNY,0.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,2157.0,63092,SWE,10227.0,58.584325,16.1730389,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 14, 'second': 35}, 'international_name': 'Verónica Boquete', 'club_shirt_name': 'Vero', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 44, 'second': 6}, 'international_name': 'Elena Terekhova', 'club_shirt_name': '', 'country_code': 'RUS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Ivančica Sudac', 'role': 'UEFA_DELEGATE', 'name_short': 'Sudac', 'gender': 'FEMALE', 'counrty_code': 'CRO', 'counrty': 'Croatia'}, {'name': 'Monika Mularczyk', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Mularczyk', 'gender': 'FEMALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Marina Wozniak', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Wozniak', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Helen Karo', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Karo', 'gender': 'FEMALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Jenny Palmqvist', 'role': 'REFEREE', 'name_short': 'Palmqvist', 'gender': 'FEMALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Carolin Rudolph', 'role': 'REFEREE_OBSERVER', 'name_short': 'Rudolph', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}]",Norrkoping,NYA Parken,Norrköpings Idrottsparken,NYA Parken,NYA Parken,Östgötaporten
2010728,France,England,FRA,ENG,3.0,0.0,,,3.0,0.0,France,WIN_REGULAR,2013,2013-07-18,2013-07-18T18:30:00Z,2.0,Group C,MD3,,DRY,23.0,CLOUDY,0.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,7332.0,250001871,SWE,7400.0,58.418056,15.649167,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 9}, 'international_name': 'Eugénie Le Sommer', 'club_shirt_name': 'Le Sommer D.', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 30}, 'international_name': 'Louisa Necib', 'club_shirt_name': 'Necib', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 64, 'second': 29}, 'international_name': 'Wendie Renard', 'club_shirt_name': 'Renard', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': '3', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Kirsi Heikkinen', 'role': 'REFEREE', 'name_short': 'Heikkinen', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Katarzyna Wierzbowska', 'role': 'REFEREE_OBSERVER', 'name_short': 'Wierzbowska', 'gender': 'FEMALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Natalia Rachynska', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Rachynska', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Tonja Weckström', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Weckström', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Esther Azzopardi', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Azzopardi', 'gender': 'FEMALE', 'counrty_code': 'MLT', 'counrty': 'Malta'}, {'name': 'Marina Tashchyan', 'role': 'UEFA_DELEGATE', 'name_short': 'Tashchyan', 'gender': 'FEMALE', 'counrty_code': 'ARM', 'counrty': 'Armenia'}]",Linkoping,Linköping Arena,Linköping Arena,Linköping Arena,Linköping Arena,Bilbörsen Arena
2010727,Netherlands,Iceland,NED,ISL,0.0,1.0,,,0.0,1.0,Iceland,WIN_REGULAR,2013,2013-07-17,2013-07-17T16:00:00Z,2.0,Group B,MD3,,,22.0,SUNNY,0.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,3406.0,250001870,SWE,9000.0,56.879952,14.776461,105.0,680.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 30, 'second': 7}, 'international_name': 'Dagný Brynjarsdóttir', 'club_shirt_name': '', 'country_code': 'ISL', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Aleksandra Pejkovska', 'role': 'UEFA_DELEGATE', 'name_short': 'Pejkovska', 'gender': 'FEMALE', 'counrty_code': 'MKD', 'counrty': 'North Macedonia'}, {'name': 'Bo Karlsson', 'role': 'REFEREE_OBSERVER', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Carina Vitulano', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vitulano', 'gender': 'FEMALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Petruta Iugulescu', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Iugulescu', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Cristina Dorcioman', 'role': 'REFEREE', 'name_short': 'Dorcioman', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Lucie Ratajová', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Ratajová', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}]",Vaxjo,Växjö Arena,Växjö Arena,Växjö Arena,Växjö Arena,Myresjöhus Arena
